,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,607.91,0.0000,0.0000,0,0,0,0.0000,0,2025-02-03 12:07:29+00:00
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,13.64,0.0000,0.0000,0,0,0,0.0000,0,2025-02-02 12:56:01+00:00
0xa8cbbffe0d62797afaf7af0a23810bd5ba39a4dd000200000000000000000f04,polygon,ECLP-GYD-AUSDT,0.00,0.0000,0.0000,0,0,0,0.0000,0,2025-01-28 21:56:27+00:00
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,13558.69,0.0000,0.0000,0,0,0,0.0000,0,2025-01-31 06:48:23+00:00
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,3993.16,0.0000,0.0000,0,0,0,0.0000,0,2025-02-02 15:33:11+00:00
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,3716.89,0.0000,0.0000,0,0,0,0.0000,0,2025-01-31 06:23:23+00:00
0x41fdbea2e52790c0a1dc374f07b628741f2e062d0002000000000000000006be,mainnet,ECLP-stdeUSD-deUSD,3055.73,0.0000,0.0000,0,0,0,0.0000,0,2025-02-03 06:27:47+00:00
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,2659.88,0.0000,0.0000,0,0,0,0.0000,0,2025-02-03 12:39:23+00:00
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,2628.01,0.0000,0.0000,0,0,0,0.0000,0,2025-02-02 08:57:11+00:00
0xb819feef8f0fcdc268afe14162983a69f6bf179e000000000000000000000689,mainnet,sUSDe/USDC,2111.35,0.0000,0.0000,0,0,0,0.0000,0,2025-02-02 06:07:23+00:00
