,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives
0x1d0a8a31cdb04efac3153237526fb15cc65a252000000000000000000000000f,zkevm,B-rETH-STABLE,-1220.53,1288.57,693.85,1982.42,779.98,1202.44,0,0
0xdf725fde6e89981fb30d9bf999841ac2c160b512000000000000000000000010,zkevm,B-wstETH/rETH-STABLE,-2153.84,2273.91,1224.41,3498.32,1376.41,2121.91,0,0
0xe1f2c039a68a216de6dd427be6c60decf405762a00000000000000000000000e,zkevm,B-wstETH-STABLE,-2505.37,2645.03,1424.25,4069.28,1601.05,2468.23,0,0
0xdc31233e09f3bf5bfe5c10da2014677c23b6894c000000000000000000000c23,polygon,wstETH-WETH-BPT,0.00,-0.00,-0.00,0,0,0,0.00,0
0x89b753153678bc434c610b7e9182297cada8ff29000000000000000000000c21,polygon,stMATIC-WMATIC-BPT,-0.24,0.09,0.05,0,0,0,-0.14,0
0xee278d943584dd8640eaf4cc6c7a5c80c0073e85000200000000000000000bc7,polygon,ECLP-WMATIC-MATICX,-1229.13,474.35,255.42,729.79,0,729.79,0.02,0
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,-3421.66,1320.50,711.04,2031.59,799.36,1232.23,0.05,0
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,-5657.33,2183.30,1175.62,3359.00,1321.64,2037.36,0.08,0
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,0.00,-0.00,-0.00,0,0,0,0.00,0
0xb08885e6026bab4333a80024ec25a1a3e1ff2b8a000200000000000000000445,mainnet,B-staFiETH-WETH-Stable,0.00,-0.00,-0.00,0,0,0,0.00,0
0x5f1f4e50ba51d723f12385a8a9606afc3a0555f5000200000000000000000465,mainnet,50wstETH-50LDO,-168.27,53.24,28.67,0,0,0,-81.91,0
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,-3564.00,1127.67,607.21,1736.22,682.59,1053.63,1.33,0
