,chain,symbol,earned_fees,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives,last_join_exit
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,2384.86,6358.5328,3423.8254,9811.3583,6642.2758,3169.0825,29.0001,0,2025-03-26 21:26:05+00:00
0xa8cbbffe0d62797afaf7af0a23810bd5ba39a4dd000200000000000000000f04,polygon,ECLP-GYD-AUSDT,7.07,18.8501,10.1500,0,0,0,-29.0001,0,2025-03-27 00:09:05+00:00
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,0.00,0.0000,0.0000,0,0,0,0.0000,0,2025-03-26 12:50:02+00:00
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,12508.05,7566.9768,4074.5260,11913.1126,8636.1445,3276.9679,271.6098,0,2025-03-27 00:30:11+00:00
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,11050.84,6685.4106,3599.8365,10525.2139,7696.5390,2828.6747,239.9668,0,2025-03-26 21:15:23+00:00
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,9016.34,5454.6021,2937.0934,8587.4837,0,8587.4835,195.7881,0,2025-03-25 08:04:47+00:00
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,3718.15,2249.3638,1211.1959,3541.2985,2968.4382,572.8604,80.7388,0,2025-03-20 16:25:35+00:00
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,3501.77,2118.4607,1140.7096,3335.2105,2828.9169,506.2936,76.0402,0,2025-03-27 08:01:11+00:00
0x41fdbea2e52790c0a1dc374f07b628741f2e062d0002000000000000000006be,mainnet,ECLP-stdeUSD-deUSD,3375.84,2042.2770,1099.6876,3215.2702,2747.7174,467.5527,73.3056,0,2025-03-27 02:16:23+00:00
0x3ff3a210e57cfe679d9ad1e9ba6453a716c56a2e0002000000000000000005d5,mainnet,STG/USDC,2516.83,1522.6030,819.8631,2397.1186,2193.8299,203.2886,54.6525,0,2025-03-25 09:31:35+00:00
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,2493.16,1508.2834,812.1526,2374.5745,2178.5677,196.0068,54.1385,0,2025-03-25 20:50:59+00:00
0x63e0d47a6964ad1565345da9bfa66659f4983f02000000000000000000000681,mainnet,pufETH/wstETH,2417.89,1462.7474,787.6332,2302.8845,2130.0338,172.8507,52.5039,0,2025-03-23 23:03:11+00:00
0xf16aee6a71af1a9bc8f56975a4c2705ca7a782bc0002000000000000000004bb,mainnet,20WETH-80ALCX,2014.85,1218.9209,656.3420,1919.0150,1919.0150,0,43.7521,0,2025-03-26 17:30:59+00:00
0xb819feef8f0fcdc268afe14162983a69f6bf179e000000000000000000000689,mainnet,sUSDe/USDC,1760.72,1065.1802,573.5586,1676.9725,1676.9724,0,38.2337,0,2025-03-27 05:51:59+00:00
0xb91159aa527d4769cb9faf3e4adb760c7e8c8ea700000000000000000000067c,mainnet,ETHx/wstETH,1495.40,904.6700,487.1300,1424.2721,1424.2721,0,32.4722,0,2025-03-26 10:31:35+00:00
0x848a5564158d84b8a8fb68ab5d004fae11619a5400000000000000000000066a,mainnet,weETH/ezETH/rswETH,724.43,438.2574,235.9847,689.9729,0,689.9730,15.7308,0,2025-03-23 09:25:11+00:00
0x8353157092ed8be69a9df8f95af097bbf33cb2af0000000000000000000005d9,mainnet,GHO/USDT/USDC,488.09,295.2791,158.9964,0,0,0,-454.2755,0,2025-03-25 08:22:11+00:00
0x1d13531bf6344c102280ce4c458781fbf14dad140000000000000000000006df,mainnet,tETH/wstETH,379.90,229.8276,123.7533,0,0,0,-353.5808,0,2025-03-26 13:19:35+00:00
0xcf7b51ce5755513d4be016b0e28d6edeffa1d52a000200000000000000000617,mainnet,RDNT-WETH,165.19,99.9348,53.8110,0,0,0,-153.7458,0,2025-03-27 09:39:35+00:00
0x1cce5169bde03f3d5ad0206f6bd057953539dae600020000000000000000062b,mainnet,ECLP-GYD-sDAI,113.54,68.6881,36.9859,0,0,0,-105.6740,0,2025-03-26 16:59:23+00:00
0x38fe2b73612527eff3c5ac3bf2dcb73784ad927400000000000000000000068c,mainnet,saETH/wstETH,84.73,51.2590,27.6010,0,0,0,-78.8600,0,2024-06-05 00:44:35+00:00
0x632aafc2d3d2ca1764e702aa25c065c273cd08ed0000000000000000000006d6,mainnet,DVstETH/wstETH,56.88,34.4106,18.5288,0,0,0,-52.9394,0,2025-03-27 02:20:59+00:00
0x8d93b853849b9884e2bb413444ec23eb5366ee910002000000000000000006b3,mainnet,ECLP-sUSDe-GYD,32.08,19.4074,10.4501,0,0,0,-29.8575,0,2025-03-20 17:07:35+00:00
0x47a4f5440ab097cf3ec7abeedf1afecc5749a4e200000000000000000000068d,mainnet,aETH/wstETH,0.00,0.0000,0.0000,0,0,0,0.0000,0,2024-09-10 05:44:35+00:00
0x740a691bd31c4176bcb6b8a7a40f1a723537d99d0000000000000000000006b6,mainnet,cdcETH/wstETH,0.00,0.0000,0.0000,0,0,0,0.0000,0,2025-01-13 11:06:11+00:00
0xda17f3663c5d04c0b316cfa1a04aa53ebbc8c12c0000000000000000000006e7,mainnet,eBTC/wBTC,0.00,0.0000,0.0000,0,0,0,0.0000,0,2025-03-11 10:00:59+00:00
0xdd59f89b5b07b7844d72996fc9d83d81acc8219600000000000000000000059e,mainnet,uniETH-WETH,0.00,0.0000,0.0000,0,0,0,0.0000,0,2025-03-05 23:13:35+00:00
