target,platform,amount
0x3c8502E60eBD1e036E1d3906Fc34e9616218B6e5,aura,0
0x3c8502E60eBD1e036E1d3906Fc34e9616218B6e5,balancer,0
0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,aura,17210.4372
0xC859BF9d7B8C557bBd229565124c2C09269F3aEF,balancer,7552.3474
0xF849D20a927C892Ad2C476a5cc7E2cDbD9BbC18f,aura,0
0xF849D20a927C892Ad2C476a5cc7E2cDbD9BbC18f,balancer,0
0xFc3f916C28f32DEBA1cc04b1F6011F28a691134c,aura,0
0xFc3f916C28f32DEBA1cc04b1F6011F28a691134c,balancer,1134.8182
0x79eF6103A513951a3b25743DB509E267685726B7,aura,11951.5467
0x79eF6103A513951a3b25743DB509E267685726B7,balancer,5028.2590
0xCD19892916929F013930ed628547Cc1F439b230e,aura,0
0xCD19892916929F013930ed628547Cc1F439b230e,balancer,1842.4191
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,aura,11164.3244
0xf7B0751Fea697cf1A541A5f57D11058a8fB794ee,balancer,4650.4192
0x6A58e7C904eCF991A3183d28FC73bE90732B7a30,aura,0
0x6A58e7C904eCF991A3183d28FC73bE90732B7a30,balancer,0
0x0021e01B9fAb840567a8291b864fF783894EabC6,aura,2962.8618
0x0021e01B9fAb840567a8291b864fF783894EabC6,balancer,713.9964
0xF6A7ad46b00300344C7d4739C0518db70e722DC4,aura,0
0xF6A7ad46b00300344C7d4739C0518db70e722DC4,balancer,1229.3382
0xa8B309a75f0D64ED632d45A003c68A30e59A1D8b,aura,38614.5879
0xa8B309a75f0D64ED632d45A003c68A30e59A1D8b,balancer,17825.6108
0x95201B61EF19C867dA0D093DF20021e1a559452c,aura,0
0x95201B61EF19C867dA0D093DF20021e1a559452c,balancer,0
0x0B9Ea598757c7D03FB1937cc16bdD2C9D416ff80,aura,2303.8739
0x0B9Ea598757c7D03FB1937cc16bdD2C9D416ff80,balancer,397.7045
0x0BcDb6d9b27Bd62d3De605393902C7d1a2c71Aab,aura,1879.6776
0x0BcDb6d9b27Bd62d3De605393902C7d1a2c71Aab,balancer,194.1047
0x253ED65fff980AEE7E94a0dC57BE304426048b35,aura,5637.8598
0x253ED65fff980AEE7E94a0dC57BE304426048b35,balancer,1997.9044
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,aura,8654.9470
0x5C0F23A5c1be65Fa710d385814a7Fd1Bda480b1C,balancer,3446.0035
0x2C2179abce3413E27BDA6917f60ae37F96D01826,aura,2736.2412
0x2C2179abce3413E27BDA6917f60ae37F96D01826,balancer,605.2264
0x10a361766e64D7983a97202ac3a0F4cee06Eb717,aura,0
0x10a361766e64D7983a97202ac3a0F4cee06Eb717,balancer,0
0x70754AB20c63cc65Ea12206CF28342723d731aC6,aura,0
0x70754AB20c63cc65Ea12206CF28342723d731aC6,balancer,0
0x0A4825154bCFD493d15777184d01B93e8115215a,aura,0
0x0A4825154bCFD493d15777184d01B93e8115215a,balancer,0
0x84f7F5cD2218f31B750E7009Bb6fD34e0b945DaC,aura,0
0x84f7F5cD2218f31B750E7009Bb6fD34e0b945DaC,balancer,1028.9032
0xAC08fde28aa2D123B61a5dB3074cAF72760FfeEB,aura,0
0xAC08fde28aa2D123B61a5dB3074cAF72760FfeEB,balancer,0
0x3ca33F22893a51A80Ed4ed8afebc900Ae813cA02,aura,0
0x3ca33F22893a51A80Ed4ed8afebc900Ae813cA02,balancer,0
0xe77D45b5dE97aC7717E4EdE6bE16E3D805fF02A5,aura,0
0xe77D45b5dE97aC7717E4EdE6bE16E3D805fF02A5,balancer,0
0xD98ed0426D18B115d6388923803e33ad8aaF11F8,aura,6670.5564
0xD98ed0426D18B115d6388923803e33ad8aaF11F8,balancer,2493.5635
0xbf65b3fA6c208762eD74e82d4AEfCDDfd0323648,aura,0
0xbf65b3fA6c208762eD74e82d4AEfCDDfd0323648,balancer,1705.6270
0xee01c0d9c0439c94D314a6ecAE0490989750746C,aura,0
0xee01c0d9c0439c94D314a6ecAE0490989750746C,balancer,0
0xdf54d2Dd06F8Be3B0c4FfC157bE54EC9cca91F3C,aura,2525.1894
0xdf54d2Dd06F8Be3B0c4FfC157bE54EC9cca91F3C,balancer,503.9286
0x4D4264aebf65Bb1727bb5438E0b2Aaf86186DA50,aura,0
0x4D4264aebf65Bb1727bb5438E0b2Aaf86186DA50,balancer,0
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,aura,0
0x183D73dA7adC5011EC3C46e33BB50271e59EC976,balancer,1831.4498
0xf720e9137baa9C7612e6CA59149a5057ab320cFa,aura,2736.8885
0xf720e9137baa9C7612e6CA59149a5057ab320cFa,balancer,605.5370
0x15C84754c7445D0DF6c613f1490cA07654347c1B,aura,0
0x15C84754c7445D0DF6c613f1490cA07654347c1B,balancer,1140.5152
0xF22BbdAd6B3Dd9314BdF97724DF32b09Ff95C216,aura,2222.4820
0xF22BbdAd6B3Dd9314BdF97724DF32b09Ff95C216,balancer,358.6394
0xc6b65bc6bF4a5fF4D90fDf7f568cBF8C99419DA1,aura,0
0xc6b65bc6bF4a5fF4D90fDf7f568cBF8C99419DA1,balancer,0
0xBB034E493eBF45F874e038Ae76576Df9Cc1137e5,aura,0
0xBB034E493eBF45F874e038Ae76576Df9Cc1137e5,balancer,0
0x6Bf6fb94027FDe38B40C7ADC154AA32C36174C8E,aura,0
0x6Bf6fb94027FDe38B40C7ADC154AA32C36174C8E,balancer,0
0x62A82FE26E21a8807599374CaC8024fae342eF83,aura,0
0x62A82FE26E21a8807599374CaC8024fae342eF83,balancer,882.2733
0xBE0967E7510604302b0F974E21A625D9f762B8bb,aura,0
0xBE0967E7510604302b0F974E21A625D9f762B8bb,balancer,1533.9506
0x671eD21480acf63b0AB7297b901505F5BccAfa9b,aura,0
0x671eD21480acf63b0AB7297b901505F5BccAfa9b,balancer,641.4174
0xB66E8D615F8109cA52D47D9cB65Fc4edcF9c1342,aura,0
0xB66E8D615F8109cA52D47D9cB65Fc4edcF9c1342,balancer,0
0xb6d101874B975083C76598542946Fe047f059066,aura,0
0xb6d101874B975083C76598542946Fe047f059066,balancer,1538.5017
0xCD41Bc6DC6e9821C4C36848Ff3397493e458A5d1,aura,0
0xCD41Bc6DC6e9821C4C36848Ff3397493e458A5d1,balancer,731.3105
0xEaF1eef5814D9be44D0dBFb54c7773844339B7F8,aura,0
0xEaF1eef5814D9be44D0dBFb54c7773844339B7F8,balancer,709.6479
0x75BA7F8733c154302cbE2e19fe3ec417E0679833,aura,0
0x75BA7F8733c154302cbE2e19fe3ec417E0679833,balancer,0
0xf8A95653CC7ee59AfA2304DcC518c431a15C292C,aura,0
0xf8A95653CC7ee59AfA2304DcC518c431a15C292C,balancer,1329.8917
0x38F1e186cC7609D236AA2161e2ca622B5BC4Ef8b,aura,0
0x38F1e186cC7609D236AA2161e2ca622B5BC4Ef8b,balancer,0
0xBb1a15dfd849bc5a6F33C002999c8953aFA626Ad,aura,0
0xBb1a15dfd849bc5a6F33C002999c8953aFA626Ad,balancer,0
0x8135d6AbFd42707A87A7b94c5CFA3529f9b432AD,aura,9715.9864
0x8135d6AbFd42707A87A7b94c5CFA3529f9b432AD,balancer,0.0000
0x4e15b9184553740f5C822bd3d6169029D302e63e,aura,0
0x4e15b9184553740f5C822bd3d6169029D302e63e,balancer,0
0x9965713498c74aee49cEf80B2195461F188F24f8,aura,5952.5896
0x9965713498c74aee49cEf80B2195461F188F24f8,balancer,1533.8841
0x82bcaD0C8F51D88ec339141F0d8953Bc25cc3d8c,aura,0
0x82bcaD0C8F51D88ec339141F0d8953Bc25cc3d8c,balancer,0
0xD103Dd49B8051A09B399A52E9A8aB629392dE2fb,aura,0
0xD103Dd49B8051A09B399A52E9A8aB629392dE2fb,balancer,1323.1563
0x2280B8C8B401CA54eBF15736B77E1d3bF4924A9D,aura,0
0x2280B8C8B401CA54eBF15736B77E1d3bF4924A9D,balancer,719.3032
0xd75026F8723b94d9a360A282080492d905c6A558,aura,0
0xd75026F8723b94d9a360A282080492d905c6A558,balancer,1528.2618
0xefF145872582721e1b33931d61c3fE9C1ca66690,aura,0
0xefF145872582721e1b33931d61c3fE9C1ca66690,balancer,0
0xe9B2CB6836Be07357bCb8144F398730d5EC268E9,aura,0
0xe9B2CB6836Be07357bCb8144F398730d5EC268E9,balancer,0
0x956074628A64a316086f7125074a8A52d3306321,aura,0
0x956074628A64a316086f7125074a8A52d3306321,balancer,0
0xa86e8e8CfAe8C9847fA9381d4631c13c7b3466bd,aura,0
0xa86e8e8CfAe8C9847fA9381d4631c13c7b3466bd,balancer,1497.1531
0x1e916950A659Da9813EE34479BFf04C732E03deb,aura,5551.8743
0x1e916950A659Da9813EE34479BFf04C732E03deb,balancer,1167.5576
0xB95397A17ACbb5824535ebE69Cd9DCF8fA7aFC50,aura,0
0xB95397A17ACbb5824535ebE69Cd9DCF8fA7aFC50,balancer,0
0xf8C85bd74FeE26831336B51A90587145391a27Ba,aura,11375.4239
0xf8C85bd74FeE26831336B51A90587145391a27Ba,balancer,5459.8161
0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f,payment,79362.4268
