pool_id,chain,symbol,last_join_exit,earned_fees,total_distribtuion,fees_to_vebal,fees_to_dao,total_incentives,aura_incentives,bal_incentives,redirected_incentives,reroute_incentives
0xcd78a20c597e367a4e478a2411ceb790604d7c8f000000000000000000000c22,polygon,maticX-WMATIC-BPT,1728566129,4031.7270,7446.2974,2420.0466,1303.1020,3723.1487,2499.2493,1223.8994,165.9253,0
0xf0ad209e2e969eaaa8c882aac71f02d8a047d5c2000200000000000000000b49,polygon,ECLP-WMATIC-stMATIC,1728531629,188.0583,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-165.9253,0
0x1e19cf2d73a72ef1332c882f20534b6519be0276000200000000000000000112,mainnet,B-rETH-STABLE,1728547763,13631.4415,33617.9862,10925.8455,5883.1476,16808.9931,0.0000,16808.9931,124.9174,0
0x93d199263632a4ef4bb438f1feb99e57b4b5f0bd0000000000000000000005c2,mainnet,wstETH-WETH-BPT,1728541043,12424.7755,30642.0955,9958.6810,5362.3667,15321.0478,10876.2154,4444.8323,113.8596,0
0x36be1e97ea98ab43b4debf92742517266f5731a3000200000000000000000466,mainnet,50wstETH-50ACX,1728254219,11063.1570,27284.0595,8867.3193,4774.7104,13642.0298,9749.1360,3892.8938,101.3819,0
0x596192bb6e41802428ac943d2f1476c1af25cc0e000000000000000000000659,mainnet,ezETH-WETH-BPT,1728495983,9168.7264,22611.9973,7348.8991,3957.0995,11305.9986,8181.0213,3124.9774,84.0215,0
0x05ff47afada98a98982113758878f9a8b9fdda0a000000000000000000000645,mainnet,weETH/rETH,1728539603,5985.8578,14762.3774,4797.7727,2583.4161,7381.1887,5546.4022,1834.7865,54.8539,0
0x848a5564158d84b8a8fb68ab5d004fae11619a5400000000000000000000066a,mainnet,weETH/ezETH/rswETH,1728555515,4646.2521,11458.6296,3724.0546,2005.2602,5729.3148,4437.5438,1291.7710,42.5779,0
0x42ed016f826165c2e5976fe5bc3df540c5ad0af700000000000000000000058b,mainnet,wstETH-rETH-sfrxETH-BPT,1728447719,4592.4168,11325.8605,3680.9047,1982.0256,5662.9302,4392.9817,1269.9486,42.0845,0
0x63e0d47a6964ad1565345da9bfa66659f4983f02000000000000000000000681,mainnet,pufETH/wstETH,1728421475,3350.5280,8263.1030,2685.5085,1446.0430,4131.5515,3365.0084,766.5431,30.7040,0
0x9f9d900462492d4c21e9523ca95a7cd86142f298000200000000000000000462,mainnet,50rETH-50RPL,1728481463,3342.9665,8244.4548,2679.4478,1442.7796,4122.2274,3358.7494,763.4780,30.6347,0
